	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGrocs_with_names-2dock_mol252	-19.668365	-41.136139	21.467773	21.467773
2hoj_LIGrocs_with_names-2dock_mol253	13.483131	-31.170963	44.654095	44.654095
2hoj_LIGrocs_with_names-2dock_mol254	2.399025	-39.661057	42.060081	42.060081
2hoj_LIGrocs_with_names-2dock_mol255	-66.820648	-33.382076	-33.438568	-33.438568
2hoj_LIGrocs_with_names-2dock_mol256	-42.175995	-35.843929	-6.332067	-6.332067
2hoj_LIGrocs_with_names-2dock_mol257	11.319672	-32.928230	44.247902	44.247902
2hoj_LIGrocs_with_names-2dock_mol258	-23.577911	-40.947742	17.369831	17.369831
2hoj_LIGrocs_with_names-2dock_mol259	6.718365	-40.843517	47.561882	47.561882
2hoj_LIGrocs_with_names-2dock_mol260	-71.923691	-29.183655	-42.740040	-42.740040
2hoj_LIGrocs_with_names-2dock_mol261	-36.934776	-33.915066	-3.019709	-3.019709
2hoj_LIGrocs_with_names-2dock_mol262	-72.170059	-38.226799	-33.943260	-33.943260
2hoj_LIGrocs_with_names-2dock_mol263	-17.800758	-37.308666	19.507908	19.507908
2hoj_LIGrocs_with_names-2dock_mol264	-72.828712	-35.744408	-37.084305	-37.084305
2hoj_LIGrocs_with_names-2dock_mol265	-18.283907	-43.496166	25.212259	25.212259
2hoj_LIGrocs_with_names-2dock_mol266	-14.271135	-33.942341	19.671206	19.671206
2hoj_LIGrocs_with_names-2dock_mol267	-25.188181	-45.074986	19.886805	19.886805
2hoj_LIGrocs_with_names-2dock_mol268	-27.042831	-51.349602	24.306770	24.306770
2hoj_LIGrocs_with_names-2dock_mol269	10.884720	-34.758972	45.643692	45.643692
2hoj_LIGrocs_with_names-2dock_mol270	-38.531807	-36.850922	-1.680885	-1.680885
2hoj_LIGrocs_with_names-2dock_mol271	-43.444572	-44.074657	0.630084	0.630084
2hoj_LIGrocs_with_names-2dock_mol272	4.208355	-38.942421	43.150776	43.150776
2hoj_LIGrocs_with_names-2dock_mol273	-101.629227	-36.057922	-65.571304	-65.571304
2hoj_LIGrocs_with_names-2dock_mol274	-69.064041	-32.469769	-36.594269	-36.594269
2hoj_LIGrocs_with_names-2dock_mol275	-69.699554	-32.006859	-37.692692	-37.692692
2hoj_LIGrocs_with_names-2dock_mol276	13.951319	-31.664984	45.616302	45.616302
2hoj_LIGrocs_with_names-2dock_mol277	-13.272938	-31.751255	18.478317	18.478317
2hoj_LIGrocs_with_names-2dock_mol278	-19.848986	-39.902744	20.053759	20.053759
2hoj_LIGrocs_with_names-2dock_mol279	-16.439589	-36.209038	19.769449	19.769449
2hoj_LIGrocs_with_names-2dock_mol280	-19.712332	-45.369331	25.657000	25.657000
2hoj_LIGrocs_with_names-2dock_mol281	-98.860008	-32.888939	-65.971069	-65.971069
2hoj_LIGrocs_with_names-2dock_mol282	-51.218021	-45.239475	-5.978547	-5.978547
2hoj_LIGrocs_with_names-2dock_mol283	2.066931	-31.438330	33.505260	33.505260
2hoj_LIGrocs_with_names-2dock_mol284	-43.640068	-44.977448	1.337378	1.337378
2hoj_LIGrocs_with_names-2dock_mol285	0.825954	-46.238346	47.064301	47.064301
2hoj_LIGrocs_with_names-2dock_mol286	-70.354279	-29.762701	-40.591576	-40.591576
2hoj_LIGrocs_with_names-2dock_mol287	0.104015	-34.481628	34.585644	34.585644
2hoj_LIGrocs_with_names-2dock_mol288	-49.467888	-43.296478	-6.171409	-6.171409
2hoj_LIGrocs_with_names-2dock_mol289	12.616974	-34.772041	47.389015	47.389015
2hoj_LIGrocs_with_names-2dock_mol290	12.730377	-36.961414	49.691792	49.691792
2hoj_LIGrocs_with_names-2dock_mol291	-24.888903	-43.380203	18.491301	18.491301
2hoj_LIGrocs_with_names-2dock_mol292	-72.773926	-35.907166	-36.866760	-36.866760
2hoj_LIGrocs_with_names-2dock_mol293	26.725910	-45.811001	72.536911	72.536911
2hoj_LIGrocs_with_names-2dock_mol294	13.327009	-26.505606	39.832615	39.832615
2hoj_LIGrocs_with_names-2dock_mol295	-15.057785	-39.529701	24.471916	24.471916
2hoj_LIGrocs_with_names-2dock_mol296	-19.000774	-40.983006	21.982231	21.982231
2hoj_LIGrocs_with_names-2dock_mol297	-72.344368	-32.951477	-39.392891	-39.392891
2hoj_LIGrocs_with_names-2dock_mol298	-14.496181	-34.214775	19.718594	19.718594
2hoj_LIGrocs_with_names-2dock_mol299	-16.036489	-33.964336	17.927847	17.927847
2hoj_LIGrocs_with_names-2dock_mol300	-14.906494	-35.209591	20.303097	20.303097
