	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol258	-30.063124	-47.458286	17.395163	13.614993
2hoj_LIGfilip-balloon_mol259	-2.066189	-48.099476	46.033287	11.053613
2hoj_LIGfilip-balloon_mol260	-78.491341	-31.127031	-47.364307	5.990513
2hoj_LIGfilip-balloon_mol261	-40.275440	-37.691082	-2.584357	6.571749
2hoj_LIGfilip-balloon_mol262	-71.714699	-37.021557	-34.693142	5.751014
2hoj_LIGfilip-balloon_mol263	-17.860439	-32.973034	15.112595	6.221561
2hoj_LIGfilip-balloon_mol264	-81.077347	-39.992298	-41.085052	6.017515
2hoj_LIGfilip-balloon_mol265	-23.935041	-41.682442	17.747400	6.867066
2hoj_LIGfilip-balloon_mol266	-16.893082	-35.316448	18.423367	6.937415
2hoj_LIGfilip-balloon_mol267	-33.440895	-48.272976	14.832082	5.881965
2hoj_LIGfilip-balloon_mol268	-31.352188	-50.882771	19.530582	14.769004
2hoj_LIGfilip-balloon_mol269	1.365326	-39.082241	40.447567	6.242576
2hoj_LIGfilip-balloon_mol270	-43.558392	-40.880459	-2.677931	5.400880
2hoj_LIGfilip-balloon_mol271	-47.814133	-46.431477	-1.382655	4.525678
2hoj_LIGfilip-balloon_mol272	-7.168941	-49.681164	42.512222	6.722806
2hoj_LIGfilip-balloon_mol273	-105.231117	-35.770309	-69.460808	6.480309
2hoj_LIGfilip-balloon_mol274	-80.363495	-40.652607	-39.710884	4.556088
2hoj_LIGfilip-balloon_mol275	-74.475441	-36.005280	-38.470161	12.239395
2hoj_LIGfilip-balloon_mol276	3.907825	-34.906113	38.813938	2.847212
2hoj_LIGfilip-balloon_mol277	-20.354366	-38.023869	17.669502	5.356959
2hoj_LIGfilip-balloon_mol278	-22.914310	-40.691498	17.777187	3.536256
2hoj_LIGfilip-balloon_mol279	-14.600109	-38.631622	24.031513	4.725499
2hoj_LIGfilip-balloon_mol280	-22.442879	-50.293350	27.850471	10.721590
2hoj_LIGfilip-balloon_mol281	-108.151855	-40.575699	-67.576157	6.778604
2hoj_LIGfilip-balloon_mol282	-54.404118	-48.514381	-5.889737	21.065460
2hoj_LIGfilip-balloon_mol283	-8.149618	-36.089588	27.939970	11.165483
2hoj_LIGfilip-balloon_mol284	-47.646854	-46.157955	-1.488900	5.492378
2hoj_LIGfilip-balloon_mol285	-10.834599	-55.609909	44.775311	9.042215
2hoj_LIGfilip-balloon_mol286	-74.689301	-36.072510	-38.616795	6.784156
2hoj_LIGfilip-balloon_mol287	-8.156551	-52.943481	44.786930	12.870300
2hoj_LIGfilip-balloon_mol288	-55.616909	-44.037022	-11.579887	17.505718
2hoj_LIGfilip-balloon_mol289	3.797817	-30.348499	34.146317	3.337464
2hoj_LIGfilip-balloon_mol290	5.372437	-46.480820	51.853256	11.215712
2hoj_LIGfilip-balloon_mol291	-26.613157	-52.317036	25.703878	16.373339
2hoj_LIGfilip-balloon_mol292	-76.797493	-33.394947	-43.402546	9.446758
2hoj_LIGfilip-balloon_mol293				
2hoj_LIGfilip-balloon_mol294	2.292038	-42.397865	44.689903	5.112310
2hoj_LIGfilip-balloon_mol295	-21.676617	-39.124737	17.448120	5.834770
2hoj_LIGfilip-balloon_mol296	-23.062916	-41.670063	18.607147	11.733665
2hoj_LIGfilip-balloon_mol297	-74.724701	-30.417564	-44.307137	11.747984
2hoj_LIGfilip-balloon_mol298	-21.415697	-39.541016	18.125319	7.274168
2hoj_LIGfilip-balloon_mol299	-14.001286	-33.314713	19.313427	6.216447
2hoj_LIGfilip-balloon_mol300	-20.782080	-41.185661	20.403582	3.785392
2hoj_LIGfilip-balloon_mol301	-79.410675	-39.842556	-39.568119	3.422660
2hoj_LIGfilip-balloon_mol302	-18.047554	-41.264347	23.216793	6.594276
2hoj_LIGfilip-balloon_mol303	-106.259186	-34.902943	-71.356247	5.062572
2hoj_LIGfilip-balloon_mol304	8.179024	-34.195435	42.374458	3.335100
2hoj_LIGfilip-balloon_mol305	-38.323875	-55.552372	17.228497	10.365113
2hoj_LIGfilip-balloon_mol306	-79.626724	-31.571054	-48.055672	7.435566
2hoj_LIGfilip-balloon_mol307	-80.769638	-36.623966	-44.145668	6.472077
2hoj_LIGfilip-balloon_mol308	-78.751846	-42.760845	-35.991005	4.381207
2hoj_LIGfilip-balloon_mol309	-65.122704	-35.365402	-29.757301	8.016520
2hoj_LIGfilip-balloon_mol310	3.416323	-31.020800	34.437122	6.205770
2hoj_LIGfilip-balloon_mol311	-69.882072	-35.139351	-34.742722	5.749744
2hoj_LIGfilip-balloon_mol312	-77.775986	-31.133776	-46.642208	4.377228
2hoj_LIGfilip-balloon_mol313	-30.567928	-50.412773	19.844845	13.082264
2hoj_LIGfilip-balloon_mol314	4.971882	-38.563133	43.535015	9.674338
2hoj_LIGfilip-balloon_mol315	-71.505653	-33.079391	-38.426262	6.182724
2hoj_LIGfilip-balloon_mol316	6.592953	-35.108494	41.701447	10.782386
2hoj_LIGfilip-balloon_mol317	-74.970917	-35.375374	-39.595543	7.279769
2hoj_LIGfilip-balloon_mol318	-75.861542	-39.115997	-36.745548	4.235003
2hoj_LIGfilip-balloon_mol319	-72.889908	-36.267124	-36.622780	4.773530
2hoj_LIGfilip-balloon_mol320	6.568489	-46.740807	53.309296	15.224672
2hoj_LIGfilip-balloon_mol321	3.000477	-37.295162	40.295639	9.921897
2hoj_LIGfilip-balloon_mol322	7.003799	-36.998718	44.002518	10.147524
2hoj_LIGfilip-balloon_mol323	12.652943	-44.349312	57.002254	7.996910
2hoj_LIGfilip-balloon_mol324	-5.296951	-45.606514	40.309563	22.852282
2hoj_LIGfilip-balloon_mol325	-19.429279	-40.870544	21.441265	11.567060
2hoj_LIGfilip-balloon_mol326	-19.760664	-40.468929	20.708265	5.099208
2hoj_LIGfilip-balloon_mol327	-18.295424	-40.829319	22.533895	10.877229
2hoj_LIGfilip-balloon_mol328	-75.004021	-37.656204	-37.347816	3.198941
2hoj_LIGfilip-balloon_mol329	-72.664200	-37.361450	-35.302750	2.236956
2hoj_LIGfilip-balloon_mol330	-51.672112	-34.544312	-17.127800	3.320748
2hoj_LIGfilip-balloon_mol331	-1.134567	-41.345131	40.210564	8.268100
