	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-openbabel_mol279	-16.056925	-40.126385	24.069460	24.069460
2hoj_LIGfilip-openbabel_mol280	-17.030226	-38.587456	21.557230	21.557230
2hoj_LIGfilip-openbabel_mol281	-99.692581	-36.436241	-63.256344	-63.256344
2hoj_LIGfilip-openbabel_mol282	-49.839901	-41.773678	-8.066222	-8.066222
2hoj_LIGfilip-openbabel_mol283	3.509825	-27.708130	31.217955	31.217955
2hoj_LIGfilip-openbabel_mol284	-41.755695	-39.748371	-2.007324	-2.007324
2hoj_LIGfilip-openbabel_mol285	2.814903	-39.021439	41.836342	41.836342
2hoj_LIGfilip-openbabel_mol286	-72.139275	-32.519379	-39.619896	-39.619896
2hoj_LIGfilip-openbabel_mol287	2.434399	-33.599434	36.033833	36.033833
2hoj_LIGfilip-openbabel_mol288	-50.436134	-45.150780	-5.285353	-5.285353
2hoj_LIGfilip-openbabel_mol289	13.768266	-15.643010	29.411276	29.411276
2hoj_LIGfilip-openbabel_mol290	7.607382	-31.071638	38.679020	38.679020
2hoj_LIGfilip-openbabel_mol291	-21.320234	-44.331909	23.011675	23.011675
2hoj_LIGfilip-openbabel_mol292	-70.599274	-30.976688	-39.622585	-39.622585
2hoj_LIGfilip-openbabel_mol293	29.678398	-45.130974	74.809372	74.809372
2hoj_LIGfilip-openbabel_mol294	8.928093	-35.008774	43.936867	43.936867
2hoj_LIGfilip-openbabel_mol295	-14.608259	-37.792130	23.183870	23.183870
2hoj_LIGfilip-openbabel_mol296	-18.503139	-39.670956	21.167816	21.167816
2hoj_LIGfilip-openbabel_mol297	-69.901993	-28.791264	-41.110733	-41.110733
2hoj_LIGfilip-openbabel_mol298	-19.025963	-38.780991	19.755028	19.755028
2hoj_LIGfilip-openbabel_mol299	-14.699667	-32.248989	17.549322	17.549322
2hoj_LIGfilip-openbabel_mol300	-12.976889	-37.680775	24.703886	24.703886
2hoj_LIGfilip-openbabel_mol301	-72.544601	-39.116901	-33.427696	-33.427696
2hoj_LIGfilip-openbabel_mol302	-14.690620	-33.206200	18.515579	18.515579
2hoj_LIGfilip-openbabel_mol303	-98.893616	-30.687387	-68.206230	-68.206230
2hoj_LIGfilip-openbabel_mol304	14.557627	-27.696207	42.253834	42.253834
2hoj_LIGfilip-openbabel_mol305	-22.438494	-43.923168	21.484674	21.484674
2hoj_LIGfilip-openbabel_mol306	-73.024788	-31.561581	-41.463207	-41.463207
2hoj_LIGfilip-openbabel_mol307	-71.227180	-35.403179	-35.824001	-35.824001
2hoj_LIGfilip-openbabel_mol308	-71.287613	-36.287838	-34.999771	-34.999771
2hoj_LIGfilip-openbabel_mol309	-64.041458	-32.409912	-31.631546	-31.631546
2hoj_LIGfilip-openbabel_mol310	6.010914	-13.200130	19.211044	19.211044
2hoj_LIGfilip-openbabel_mol311	-68.412674	-33.028866	-35.383804	-35.383804
2hoj_LIGfilip-openbabel_mol312	-74.237366	-29.736496	-44.500874	-44.500874
2hoj_LIGfilip-openbabel_mol313	-21.935505	-36.935310	14.999805	14.999805
2hoj_LIGfilip-openbabel_mol314	6.235268	-35.895275	42.130543	42.130543
2hoj_LIGfilip-openbabel_mol315	-69.219688	-35.148144	-34.071545	-34.071545
2hoj_LIGfilip-openbabel_mol316	8.930618	-32.056435	40.987053	40.987053
2hoj_LIGfilip-openbabel_mol317	-66.084549	-25.850260	-40.234287	-40.234287
2hoj_LIGfilip-openbabel_mol318	-69.041862	-38.262798	-30.779064	-30.779064
2hoj_LIGfilip-openbabel_mol319	-68.344757	-33.260731	-35.084030	-35.084030
2hoj_LIGfilip-openbabel_mol320	3.735233	-46.765354	50.500587	50.500587
